TIMESTAMP,COIN,STOCKMARKET,PRICE
1577836800,ETH,TMA,129.63
1577750400,ETH,TMA,132.61
1577664000,ETH,TMA,134.8
1577577600,ETH,TMA,128.27
1577491200,ETH,TMA,127.21
1577404800,ETH,TMA,126.37
1577318400,ETH,TMA,126.49
1577232000,ETH,TMA,129.07
1577145600,ETH,TMA,128.63
1577059200,ETH,TMA,132.31
1576972800,ETH,TMA,128.1
1576886400,ETH,TMA,129.1
1576800000,ETH,TMA,129.38
1576713600,ETH,TMA,133.05
1576627200,ETH,TMA,122.66
1576540800,ETH,TMA,133.65
1576454400,ETH,TMA,143.14
1576368000,ETH,TMA,142.86
1576281600,ETH,TMA,144.95
1576195200,ETH,TMA,145.66
1576108800,ETH,TMA,143.62
1576022400,ETH,TMA,146.32
1575936000,ETH,TMA,148.18
1575849600,ETH,TMA,151.22
1575763200,ETH,TMA,148.74
1575676800,ETH,TMA,149.2
1575590400,ETH,TMA,149.4
1575504000,ETH,TMA,146.69
1575417600,ETH,TMA,147.92
1575331200,ETH,TMA,149.06
1575244800,ETH,TMA,151.18
1575158400,ETH,TMA,152.49
1575072000,ETH,TMA,155.29
1574985600,ETH,TMA,151.77
1574899200,ETH,TMA,153.07
1574812800,ETH,TMA,148.4
1574726400,ETH,TMA,146.4
1574640000,ETH,TMA,142.7
1574553600,ETH,TMA,153.43
1574467200,ETH,TMA,150.21
1574380800,ETH,TMA,161.51
1574294400,ETH,TMA,175.67
1574208000,ETH,TMA,177.42
1574121600,ETH,TMA,180.5
1574035200,ETH,TMA,185.04
1573948800,ETH,TMA,183.35
1573862400,ETH,TMA,180.5
1573776000,ETH,TMA,186.06
1573689600,ETH,TMA,188.27
1573603200,ETH,TMA,186.94
1573516800,ETH,TMA,185.56
1573430400,ETH,TMA,189.5
1573344000,ETH,TMA,184.94
1573257600,ETH,TMA,184.31
1573171200,ETH,TMA,187.92
1573084800,ETH,TMA,191.5
1572998400,ETH,TMA,189.11
1572912000,ETH,TMA,186.31
1572825600,ETH,TMA,182.32
1572739200,ETH,TMA,183.99
1572652800,ETH,TMA,184.02
1572566400,ETH,TMA,183.8
1572480000,ETH,TMA,184.8
1572393600,ETH,TMA,190.34
